"","query","lat","lon","lat_min","lat_max","lon_min","lon_max"
"1176","4900 NANNIE HELEN BURROUGHS AVENUE NE WASHINGTON, DC 20019 UNITED STATES",38.898667,-76.931485,38.898617,38.898717,-76.931535,-76.931435
"1177","1800 BRUCE PLACE SE WASHINGTON, DC 20020 UNITED STATES",38.850603,-76.979684,38.850553,38.850653,-76.979734,-76.979634
"1178","4200 BARNABY ROAD SE WASHINGTON, DC 20032 UNITED STATES",38.8277616,-76.9960448,38.8257843,38.8291923,-76.9974349,-76.9948893
"1179","UNIT I STREET SW WASHINGTON, DC 20024 UNITED STATES",38.8792882,-77.0197641,38.879288,38.8792906,-77.0198975,-77.0189151
"1180","500 FLORIDA AVENUE NW WASHINGTON, DC 20001 UNITED STATES",38.9148717,-77.0190991535178,38.9148001,38.9149629,-77.0191297,-77.019053
"1181","2100 SUITLAND TERRACE SE WASHINGTON, DC 20020 UNITED STATES",38.8628412,-76.9484039,38.8627912,38.8628912,-76.9484539,-76.9483539
"1182","1200 JEFFERSON STREET NW WASHINGTON, DC 20011 UNITED STATES",38.955063,-77.028037,38.955013,38.955113,-77.028087,-77.027987
"1183","1300 EUCLID STREET NW WASHINGTON, DC 20009 UNITED STATES",38.92351045,-77.0299515888558,38.9233872,38.9236153,-77.0299956,-77.0299007
"1184","1700 V STREET SE WASHINGTON, DC 20020 UNITED STATES",38.864125,-76.9799,38.864075,38.864175,-76.97995,-76.97985
"1185","900 BRENTWOOD ROAD NE WASHINGTON, DC 20018 UNITED STATES",38.9173163,-76.9954865,38.9172663,38.9173663,-76.9955365,-76.9954365
"1186","1800 BLADENSBURG ROAD NE WASHINGTON, DC 20002 UNITED STATES",38.914281,-76.975135,38.914231,38.914331,-76.975185,-76.975085
"1187","900 RHODE ISLAND AVENUE NE WASHINGTON, DC 20018 UNITED STATES",38.92244985,-76.9936711184961,38.9222684,38.9226741,-76.9938215,-76.9932422
"1188","1100 K STREET NE WASHINGTON, DC 20002 UNITED STATES",38.902776,-76.9913480442707,38.9026984,38.9028431,-76.9913925,-76.9913023
"1189","5300 CLAY TERRACE NE WASHINGTON, DC 20019 UNITED STATES",38.89357,-76.92507,38.89352,38.89362,-76.92512,-76.92502
"1190","400 2ND STREET NW WASHINGTON, DC 20001 UNITED STATES",38.8954565090423,-77.013763536795,38.895406509042,38.895506509042,-77.013813536795,-77.013713536795
"1191","1100 G STREET SE WASHINGTON, DC 20003 UNITED STATES",38.88135,-76.991375,38.8813,38.8814,-76.991425,-76.991325
"1192","1300 STAPLES STREET NE WASHINGTON, DC 20002 UNITED STATES",38.90295725,-76.9847632278607,38.9029085,38.9030014,-76.9848303,-76.9846733
